IMO/LR/IHS No.,MMSI,Name of Ship,Built,Deadweight,Length,GT,Total HP Main Eng
9575553,311035500,SONANGOL KALANDULA,2011-10,"157,955",274.000,"83,753","22,909"
9375575,311037700,GOTLAND MARIEANN,2008-08,"53,116",183.200,"29,283","15,418"
9441520,311040600,HORIZON LEADER,2010-11,"20,434",199.950,"58,767","19,415"
9441556,311040700,HERITAGE LEADER,2011-02,"20,434",199.950,"58,767","19,415"
9441568,311040800,HARMONY LEADER,2011-07,"20,434",199.950,"58,767","19,415"
9375604,311045400,GOTLAND ALIYA,2008-07,"53,121",183.200,"29,283","15,418"
9328144,311046600,GOTLAND SOFIA,2007-03,"53,187",183.200,"29,283","15,418"
9441582,311054400,GLOVIS CLIPPER,2012-02,"20,434",199.990,"58,767","19,415"
9378228,311056100,PGS APOLLO,2010-03,"2,200",106.800,"7,131","20,394"
9600994,311056900,CSL TECUMSEH,2013-05,"71,319",228.600,"43,691","14,181"
9600970,311057300,RT. HON. PAUL E. MARTIN,2012-09,"71,406",228.600,"43,691","14,181"
8903167,311062200,KNUD REEFER,1991-02,"16,950",164.330,"14,406","16,859"
9195157,311082000,NORWEGIAN STAR,2001-10,"7,500",294.130,"91,740","79,944"
9218131,311109000,NORWEGIAN SUN,2001-08,"7,100",258.000,"78,309","66,909"
9219331,311213000,THE WORLD,2002-02,"4,558",196.350,"43,188","15,010"
9232802,311259000,CEDAR ARROW,2001-10,"47,818",189.900,"32,458","12,100"
9232814,311288000,SPRUCE ARROW,2002-01,"47,792",189.785,"32,458","12,268"
9255191,311291000,OCCITAN STAR,2002-06,"27,141",178.430,"17,944","8,912"
9243667,311536000,CRYSTAL SERENITY,2003-06,"10,810",250.000,"68,870","70,974"
9228356,311583000,JEWEL OF THE SEAS,2004-04,"11,936",293.200,"90,090","78,177"
9277826,311695000,AMBER ARROW,2004-04,"21,120",199.910,"57,718","21,128"
9277838,311696000,IVORY ARROW,2004-06,"21,300",199.960,"57,718","21,100"
9283617,311707000,PGC IKAROS,2004-11,"72,829",228.600,"40,690","15,635"
9304045,311827000,NORWEGIAN JEWEL,2005-08,"7,500",294.130,"93,502","98,000"
9267924,311918000,ONYX ARROW,2006-03,"21,087",199.930,"57,692","21,128"
9267912,311919000,JASPER ARROW,2005-10,"21,040",199.940,"57,692","21,128"
9285639,311921000,MORNING COURIER,2005-06,"21,053",199.940,"57,692","21,509"
9561265,319015800,ELEGANT ACE,2010-01,"18,833",199.950,"58,939","20,571"
9523263,319016900,VIJAYANAGAR,2010-02,"82,167",228.990,"43,012","13,202"
9598012,319025600,BRILLIANT ACE,2011-03,"18,448",199.950,"59,022","20,571"
9569401,319031900,BOARDWALK,2010-06,88,49.940,492,"7,302"
9280512,319032000,DE DE,2002-11,75,42.620,457,"2,434"
9554200,319035500,PRECIOUS ACE,2010-07,"19,045",199.970,"59,402","20,530"
9663788,319056200,ENDEAVOUR,2014-01,0,39.600,333,"5,874"
9539183,319058000,OPAL ACE,2011-11,"18,507",199.990,"60,131","19,463"
9663790,319063600,EVVIVA,2014-06,111,49.940,492,"7,832"
9711286,319073100,NEMEA,2015-01,"61,300",199.900,"34,626","11,054"
1012763,319095800,CLOUDBREAK,2016-05,309,72.250,"2,293","4,058"
1007720,319098000,AVANTI,2004-05,192,60.970,"1,444","4,732"
9828651,319115500,MANGUSTA,2017-04,0,40.850,288,"7,908"
1005435,319142000,GITANA,1997-06,46,48.200,499,"1,836"
1011082,319329000,INVICTUS,2013-07,432,65.500,"1,943","5,220"
1008138,319363000,POLAR STAR,2005-03,0,65.170,"1,495","3,750"
9515474,319392000,IRIS ACE,2011-09,"14,349",187.530,"43,709","17,185"
1006099,319421000,ATTESSA,1998-06,0,68.580,"1,289","4,058"
9397999,319570000,AMETHYST ACE,2008-06,"18,760",199.990,"60,143","19,463"
1007328,319713000,LUCKY LADY,2002-06,0,62.600,"1,083","3,344"
9476757,319819000,RUBY ACE,2010-01,"18,724",199.990,"60,148","19,463"
9544918,319885000,CATTLEYA ACE,2011-09,"16,384",199.990,"60,975","20,516"
9339818,338009000,GREEN BAY,2007-08,"18,312",199.900,"59,250","19,415"
8990914,338089000,SURVEYOR,1972-00,0,28.290,149,"1,200"
8992845,338142000,ZEPHYR,1973-01,0,25.900,119,840
8983210,338415000,RACHEL CARSON,2003-12,428,41.450,430,"1,220"
8993784,338570000,BAYPORT,1996-12,0,92.400,"3,541",
9198501,338731000,DELTA MARINER,2000-05,"3,950",95.360,"8,679","8,114"
9010656,338752000,OCEAN RANGER,1990-05,338,35.360,333,"3,620"
9161168,338860000,MOHAWK,1997-12,"20,406",153.220,"13,066","11,221"
9177325,338921000,GEORGE COBB,2000-06,200,53.340,903,"1,920"
8507016,338955000,INDEPENDENCE,1985-05,0,55.780,"1,129","2,534"
9303211,351034000,GRAND VENUS,2006-08,"18,318",199.990,"59,217","19,415"
9848247,351092000,MCS ALLIANZ RUBY,2018-11,25,25.750,168,"2,230"
9409338,351126000,PORGY,2009-06,"18,009",199.980,"58,752","19,415"
9831531,351137000,CENTURY QUEEN,2018-11,"16,102",137.030,"10,246","5,302"
9206023,351173000,PACIFIC HIGHWAY,2000-02,"15,127",179.990,"48,039","18,001"
9238519,351223000,CONTINENTAL HIGHWAY,2001-09,"17,201",199.940,"55,493","18,953"
9622849,351257000,DEVON BAY,2013-07,"56,095",189.990,"31,756","12,332"
9399026,351361000,MSC KALINA,2009-06,"162,867",366.070,"151,559","98,218"
9283837,351467000,TAN BINH 245,2004-02,"28,371",169.300,"16,954","7,954"
9082805,351552000,OEL DELTA,1995-06,"22,983",184.020,"16,800","18,110"
9638460,351628000,MORNING CALYPSO,2013-03,"18,932",199.970,"59,432","18,028"
9033866,351657000,NS SPRINTER,1992-01,"3,030",82.040,"1,999","2,284"
9153549,351678000,POLARIS ACE,1997-10,"15,522",188.000,"46,346","15,521"
8815023,351683000,YUN RUN 1,1989-02,"5,092",115.800,"4,189","4,049"
9544059,351684000,SCARLET CARDINAL,2014-02,"82,165",228.990,"43,010","13,202"
9787338,351687000,OML INTERVENTION II,2018-07,"1,124",68.000,"8,100","4,460"
9444247,351690000,PAN FREESIA,2009-07,"180,736",292.000,"95,047","25,370"
9565546,351733000,CHESAPEAKE HIGHWAY,2010-11,"21,643",199.940,"58,535","17,947"
9571038,351743000,JUSTICE VICTORIA,2010-10,"74,902",228.000,"40,975","16,642"
9267675,351780000,MARTORELL,2003-09,"19,531",199.540,"57,789","19,252"
9467457,351848000,MSC KATIE,2012-11,"139,287",365.880,"140,096","98,218"
9633020,351854000,MERCHANT THREE,2012-10,"28,364",169.370,"17,027","7,954"
9477232,351893000,AMAZING SALUTE,2011-11,"107,288",254.990,"58,592","16,680"
9461154,351916000,LOWLANDS KAMSAR,2010-08,"82,206",228.990,"43,012","18,436"
9188154,351934000,EVER UTILE,2000-03,"63,216",285.000,"69,246","66,077"
9529580,351952000,NANDU ARROW,2011-03,"61,860",199.980,"37,046","13,542"
9542855,351954000,OCEAN SEAGULL,2009-07,"12,812",119.990,"9,615","5,389"
9292266,351968000,GRACE BRIDGE,2005-01,"65,023",294.120,"54,519","60,616"
9627473,352018000,FOS VIRGO,2012-06,395,59.970,906,"10,440"
9561954,352023000,DIONE LEADER,2013-09,"21,111",199.950,"62,838","21,128"
9459163,352031000,NORD TAIPEI,2011-06,"33,143",177.000,"21,483","8,905"
9641833,352044000,WISDOM ACE,2013-06,"19,227",199.970,"59,409","20,530"
9826550,352058000,SUNNY CANNA,2018-01,"12,470",137.646,"9,870","9,109"
9604122,352135000,EVER LOTUS,2013-12,"104,262",334.982,"98,830","76,233"
9293648,352142000,PARADISE ACE,2004-09,"19,080",199.990,"60,175","16,546"
9615779,352158000,FALMOUTH BAY,2014-04,"58,616",197.000,"33,126","11,733"
9597422,352166000,AUDREY SW,2014-06,"31,822",175.530,"19,819","9,300"
9441881,352196000,PAN CROCUS,2009-05,"57,269",190.000,"33,115","12,889"
9209271,352283000,FRONTIER ACE,2000-03,"17,693",189.450,"52,276","19,902"
8528955,352407000,YUE GONG PAO 10,1995-10,0,58.200,997,"1,158"
9264764,352408000,MERIOS,2003-11,"8,015",132.600,"6,704","8,565"
8619302,352496000,HUA YU YUAN NO. 1,1987-03,435,53.290,488,"1,201"
9610444,352506000,PRIME ACE,2014-03,"18,304",199.950,"59,007","20,571"
9510149,352517000,BALTIMORE HIGHWAY,2009-08,"15,341",179.990,"48,927","21,509"
9300465,352542000,EVER SAFETY,2007-10,"78,618",299.990,"76,261","74,699"
7808463,352548000,SARAH M,1979-10,"1,600",77.630,"4,076","3,481"
9443815,352557000,FEDERAL SW,2011-01,"76,483",225.000,"40,032","12,670"
9518206,352586000,KEY OPUS,2015-03,"81,863",228.990,"42,999","13,134"
9692739,352597000,MAGPIE SW,2015-03,"34,302",179.960,"21,561","8,511"
9845984,352608000,HOUSTON HARMONY,2018-08,"38,473",182.870,"24,331","8,226"
9618290,352619000,MSC ADELAIDE,2013-12,"110,617",300.130,"95,390","64,486"
9610248,352620000,NEW HISTORY,2013-03,"36,332",176.500,"21,796","9,925"
9345427,352631000,COSCO AMERICA,2008-03,"109,950",349.070,"114,394","93,323"
9691539,352669000,MORNING SALUTE,2014-07,"88,909",229.980,"49,799","14,249"
9702065,352684000,MSC LETIZIA,2015-08,"110,800",299.790,"95,497","64,486"
9607813,352692000,MELODIA,2013-05,"80,554",225.000,"42,608","13,188"
9300477,352725000,EVER SALUTE,2008-01,"78,733",299.990,"75,246","74,699"
9574078,352732000,CALIFORNIA HIGHWAY,2010-12,"18,644",199.970,"59,447","18,028"
9318254,352745000,OEL FORTUNE,2005-09,"12,692",149.600,"10,308","14,276"
9783916,352816000,SOUTHERN REVERENCE,2018-03,"108,677",243.790,"60,855","16,995"
9414967,352823000,IZUMO,2007-12,"20,149",147.200,"14,162","8,810"
9228215,352840000,UNIVERSE PROSPERITY,2001-05,"28,514",170.000,"17,431","8,000"
9539535,352843000,BUNUN GLORY,2015-04,"37,046",177.850,"22,852","9,585"
9339284,352871000,MSC CANDICE,2007-10,"116,932",336.670,"107,849","93,158"
9252216,352915000,HEROIC ACE,2003-06,"19,879",198.000,"56,439","19,252"
9278155,352948000,MSC NERISSA,2004-03,"68,178",294.080,"54,881","55,889"
9401908,352967000,CORONA NATURE,2009-06,"86,356",228.410,"46,783","13,550"
9363651,352981000,HOKUETSU IBIS,2008-04,"60,527",210.000,"49,166","13,147"
9337664,353025000,NYK DEMETER,2007-12,"65,965",294.000,"55,487","69,870"
9141900,353039000,ACACIA LAN,1996-06,"7,196",114.300,"5,658","7,200"
9542893,353086000,GENIUS STAR X,2010-07,"12,100",120.000,"9,589","5,302"
9708758,353093000,INDIGO SPICA,2014-07,"58,052",189.930,"32,726","11,013"
9675573,353100000,GALVESTON HIGHWAY,2014-02,"18,549",199.970,"59,525","16,642"
9660047,353109000,LAUREL ACE,2013-07,"28,397",169.370,"17,019","7,954"
9292175,353111000,SINO BRIDGE,2004-11,"65,038",294.120,"54,519","60,616"
7363700,353154000,CABO DE PALOS,1974-05,174,30.400,174,600
9399052,353155000,MSC EMANUELA,2010-09,"162,867",366.070,"151,559","93,160"
9250232,353156000,ATLANTIC HIGHWAY,2002-04,"17,232",199.940,"55,493","18,953"
9573854,353183000,FURNESS ST KILDA,2010-12,"61,510",199.980,"34,795","11,489"
9629677,353191000,DL LILAC,2012-11,"33,752",180.000,"23,494","10,741"
9528158,353245000,DK IONE,2010-08,"58,714",196.000,"34,349","12,889"
9205639,353248000,BMC CATHERINE,2000-05,"23,641",153.500,"14,527","7,200"
9321938,353265000,STAR EAGLE,2007-10,"51,202",183.000,"30,068","12,889"
9337614,353274000,NYK DAEDALUS,2007-09,"65,867",294.120,"55,487","69,870"
9262704,353295000,NYK AQUARIUS,2003-11,"81,171",299.900,"75,484","83,411"
9363948,353332000,LAVENDER ACE,2008-10,"17,262",199.990,"60,065","20,516"
9463279,353368000,BANGKOK BRIDGE,2010-08,"52,089",266.650,"44,234","55,309"
9362190,353408000,BULK PODS,2006-07,"76,561",224.940,"39,736","14,031"
9467407,353428000,MSC LAUREN,2011-01,"139,324",365.850,"140,096","98,218"
8820937,353495000,ELEMENTS,1990-12,"3,487",92.700,"3,254","2,230"
9735074,353507000,GUNNLOD,2015-07,"3,400",101.030,"10,501",
9544712,353544000,LADY MARITE,2009-11,"76,529",224.940,"39,737","14,031"
9335836,353616000,ELENORE,2010-02,"34,569",178.060,"20,430","11,665"
9461075,353619000,C. S. OLIVE,2009-06,"82,175",228.990,"43,012","13,202"
9837004,353698000,AM SHRADDHA,2019-08,"81,754",228.990,"43,067","13,202"
9243461,353729000,BALTIC HIGHWAY,2001-12,"17,828",179.475,"42,238","22,242"
9835898,353788000,PACIFIC MYRA,2019-12,"180,000",291.500,"94,970",
9478949,353814000,NIPPON MARU,2011-05,"55,581",189.990,"31,244","12,889"
9158575,353848000,HIGHWAY,1998-03,"24,757",182.400,"21,611","26,743"
9282261,353873000,MSC ANS,2004-07,"68,599",294.100,"54,304","55,889"
9074822,353886000,ASIAN ENTERPRISE,1995-07,"42,529",184.930,"25,676","11,641"
9520649,353892000,AMIS ORCHID,2012-07,"58,120",189.990,"32,319","11,421"
9078830,353910000,PEGASUS HIGHWAY,1994-09,"15,553",179.990,"49,012","18,461"
9282259,353934000,MSC ELA,2004-06,"68,307",294.060,"54,304","55,889"
9459620,353961000,KEN SEI,2010-02,"31,771",171.590,"19,799","9,626"
9281279,353968000,MSC LISA,2004-05,"68,578",294.100,"54,304","55,889"
9676876,353987000,PISCES LEADER,2014-11,"18,781",199.980,"69,931","18,695"
9376933,354077000,LONGHUNG 5,2007-12,"12,936",127.080,"8,455","5,710"
9806732,354094000,JOSEPH WISDOM,2018-06,"6,407",119.290,"5,848","6,186"
9713820,354101000,DAIWAN FORTUNE,2015-04,"35,531",176.990,"22,314","9,218"
9463267,354120000,BAY BRIDGE,2010-05,"52,118",266.650,"44,234","55,309"
9370783,354157000,CRIMSON POLARIS,2008-05,"49,549",199.900,"39,910","11,366"
9538983,354162000,KEN EI,2013-11,"37,056",177.850,"22,863","10,156"
9628570,354196000,BUNUN ACE,2013-11,"37,744",179.970,"23,274","9,272"
9281267,354202000,MSC ORNELLA,2004-04,"68,372",294.100,"54,304","55,889"
9250220,354203000,MEDITERRANEAN HIGHWAY,2002-02,"17,228",199.940,"55,493","18,953"
9337638,354212000,NYK METEOR,2007-10,"65,935",294.000,"55,534","69,870"
9385166,354213000,ORIENT HOPE,2009-10,"32,165",175.530,"19,828","9,300"
9609524,354227000,SANTA EMILIA,2014-03,"77,134",225.000,"40,962","11,645"
9443877,354252000,GRAND ACE 10,2008-03,"46,159",183.000,"30,027","12,889"
9237357,354277000,CARNIVAL MIRACLE,2004-02,"7,089",292.500,"85,942","84,798"
9650755,354297000,OCEANIC POWER,2013-04,"78,173",224.980,"41,963","12,468"
9620645,354314000,VITTORIA,2013-12,"78,259",225.000,"41,963","12,468"
9615767,354322000,EUROPA BAY,2013-12,"58,606",197.000,"33,126","11,733"
9100085,354330000,ORIENT LOONG,1995-01,"70,136",225.000,"37,550","11,641"
9078842,354342000,ARCADIA HIGHWAY,1995-01,"15,507",179.990,"49,015","18,461"
7609829,354370000,MOBILE POWER,1957-00,0,30.000,252,"4,061"
9275488,354373000,FORESTAL PACIFICO,2003-09,"49,939",199.900,"40,157","11,785"
9283887,354410000,SAGITTARIUS LEADER,2005-03,"20,098",199.940,"61,804","21,128"
9276767,354421000,KEN MEI,2003-09,"29,734",170.700,"17,979","8,370"
9293636,354487000,DIAMOND HIGHWAY,2004-07,"19,086",199.990,"60,175","19,463"
9478573,354520000,TTM PHOENIX,2010-06,"55,947",190.000,"31,532","12,087"
9655420,354527000,AFRICAN TEIST,2014-03,"33,343",179.990,"21,174","8,158"
9349813,354530000,MSC CARMEN,2008-06,"63,359",274.960,"50,963","54,343"
9674799,354532000,ATLANTIC BULKER,2014-05,"36,309",176.500,"21,718","9,925"
9284738,354591000,PYXIS LEADER,2004-10,"21,466",199.940,"62,195","21,128"
9262728,354614000,NYK ATLAS,2004-07,"81,171",299.900,"75,519","83,411"
9639684,354647000,KAGARA,2013-02,"78,129",224.980,"41,963","12,468"
9284764,354662000,GRAND PHOENIX,2005-01,"18,383",199.990,"59,217","19,415"
9284556,354740000,TAI HAWK,2004-12,"52,686",189.990,"29,398","12,870"
9129885,354776000,MSC RAFAELA,1996-10,"51,210",244.150,"42,307","38,573"
9417634,354778000,HALEENA,2008-08,"2,081",65.000,"1,156","1,650"
9547506,354828000,NORD IMAGINATION,2009-10,"48,006",179.990,"28,777","12,889"
9395147,354839000,ONE HAMMERSMITH,2009-03,"98,849",336.000,"98,747","90,087"
9259329,354840000,FUSION ENERGY,2003-07,"70,201",228.080,"41,397","18,420"
9345415,354886000,COSCO EUROPE,2008-01,"109,968",349.070,"114,394","93,323"
9337640,354891000,NYK NEBULA,2007-11,"65,600",294.000,"55,534","69,870"
9463293,354942000,BEAR MOUNTAIN BRIDGE,2011-04,"52,118",266.650,"44,234","55,309"
9515917,354949000,ZEFYROS,2013-06,"50,155",183.000,"29,924","12,889"
9125542,354988000,FAR HONEST,1996-05,"43,769",190.000,"26,922","11,271"
9229348,355087000,NYK LIBRA,2002-08,"77,900",299.800,"75,201","93,323"
9782118,355109000,JIMMY T,2017-02,"81,704",228.940,"43,471","13,134"
8784054,355123000,ZHONG HUI 36,2004-07,0,52.800,499,544
9561289,355139000,MERMAID ACE,2010-07,"18,828",199.950,"58,939","20,571"
9270907,355170000,ACHILLES BULKER,2003-10,"32,729",177.000,"19,891","9,001"
9643556,355196000,LAKE DAWN,2013-11,"81,902",228.990,"43,008","13,039"
9229398,355234000,NEW CENTURY 1,2001-08,"16,837",199.990,"52,863","15,202"
8918954,355254000,MSC NEDERLAND,1992-11,"46,600",237.000,"37,071","29,503"
9398383,355283000,MSC LUCIANA,2009-03,"138,377",363.570,"131,771","93,323"
9441855,355284000,NORD INSPIRATION,2010-05,"47,987",179.990,"28,798","12,889"
9073701,355297000,SHOHJIN,1994-03,"16,178",179.030,"50,308","15,799"
9311359,355321000,CABO FROWARD,2006-06,"74,543",228.500,"42,096","13,202"
9242687,355368000,HACHINOHE MARU,2002-09,"62,806",228.930,"48,191","11,054"
9162928,355416000,TAGUS,1998-01,"47,198",182.500,"28,400","11,648"
9242699,355446000,FORESTAL DIAMANTE,2003-12,"62,806",228.930,"48,191","11,052"
9538971,355456000,KEN SPIRIT,2012-01,"33,644",171.990,"20,927","8,810"
9536959,355488000,DELHI HIGHWAY,2011-06,"18,891",199.900,"58,997","16,995"
9510151,355558000,BLUE RIDGE HIGHWAY,2009-12,"15,290",179.990,"48,927","21,509"
8892447,355573000,ASIA STAR,1995-09,"30,233",178.000,"20,341","10,604"
9213454,355745000,PRESTIGE ACE,2000-09,"20,202",199.940,"55,878","19,199"
9279721,355754000,JASMINE S,2004-05,"45,937",179.880,"28,150","12,890"
9574092,355768000,MORNING CARA,2011-05,"18,907",199.970,"59,454","18,028"
9720287,355813000,MSC MAXINE,2015-06,"110,629",299.840,"94,469","74,642"
9205952,355858000,ORUC REIS,1999-08,"32,128",171.590,"19,707","9,600"
9424259,355861000,MAYFIELD,2008-11,"4,300",93.620,"2,962","2,665"
9425514,355920000,MAERSK MUROTSU,2010-06,"50,093",182.500,"28,465","11,665"
9800867,355981000,BALSA 95,2019-09,"7,715",106.330,"5,708","4,419"
9116034,355997000,SKY FEYZ,1995-05,"3,662",88.150,"1,998","1,754"
8906157,355999000,VB CIMARRON,1989-06,0,32.100,331,"3,200"
9021332,356005000,NEW NADA,1992-03,"14,274",180.000,"47,677","14,701"
9519119,356073000,BRASILIA HIGHWAY,2009-08,"18,793",199.970,"59,440","22,243"
9502829,356087000,PRETTY JACK,2011-08,"35,000",179.900,"22,402","8,810"
8714205,356101000,MSC SABRINA,1989-03,"43,078",242.600,"35,598","31,502"
9691151,356124000,INDIGO SW,2014-10,"36,371",176.500,"21,728","8,076"
9791224,356144000,GENESIS RIVER,2018-11,"54,149",230.000,"46,794","17,811"
9402940,356190000,PANTERA ROSA,2009-10,"78,844",225.000,"41,662","12,998"
9633276,356192000,POAVOSA WISDOM VII,2012-11,"28,208",169.370,"17,027","7,954"
7402623,356198000,CARTAGENA SUN,1976-04,"7,216",115.980,"4,269","3,840"
9713894,356219000,CASTOR LEADER,2015-03,"21,186",199.990,"70,048","18,762"
9589786,356222000,SHIMANAMI QUEEN,2011-06,"61,472",199.980,"34,778","11,489"
9384100,356251000,HECTOR N,2008-11,"38,402",182.860,"24,112","12,889"
9553000,356285000,GLOBAL JOURNEY,2013-07,"56,052",189.990,"31,872","11,597"
9054119,356347000,AEGEAN LEADER,1993-08,"13,157",180.000,"48,319","14,501"
9463346,356352000,BAI CHAY BRIDGE,2011-08,"52,452",266.650,"44,234","45,846"
9104603,356405000,ALBY STORY,1995-09,"45,406",185.740,"25,968","9,748"
9604172,356407000,EVER LUCKY,2014-07,"104,205",334.982,"99,995","76,233"
9528160,356411000,DK INITIO,2010-10,"58,655",196.000,"34,349","13,542"
9598191,356509000,NEW HONOR,2013-04,"82,062",229.000,"44,373","13,270"
9689794,356548000,NEW JOURNEY,2015-03,"36,371",176.500,"21,728","8,076"
9444261,356565000,MOL PREMIUM,2008-01,"72,912",293.180,"71,776","85,546"
9273909,356571000,ANDROMEDA LEADER,2004-08,"21,443",199.940,"62,195","21,128"
9273894,356577000,VIRGO LEADER,2004-06,"20,111",199.940,"61,854","21,128"
9345403,356581000,COSCO ASIA,2007-08,"109,968",349.070,"114,394","93,323"
9691163,356610000,SUMMIT SW,2014-09,"37,055",177.850,"22,866","9,585"
9038373,356615000,LADY NURAY,1992-08,"4,166",99.850,"3,585","3,603"
9691565,356628000,NBA VAN DYCK,2014-09,"95,527",234.980,"50,626","14,140"
9667344,356651000,FREMANTLE HIGHWAY,2013-12,"18,549",199.970,"59,525","16,642"
9738777,356688000,DENEB LEADER,2015-07,"21,155",199.990,"70,048","18,762"
9730878,356696000,CABO FUJI,2017-09,"74,246",228.000,"42,791","13,888"
9326158,356744000,MITOSE,2008-01,"77,376",225.000,"40,028","11,950"
9379973,356768000,CYPRESS GALAXY,2007-07,"20,758",147.830,"12,104","8,470"
9142019,356788000,FP PROTEIOS,1996-08,"50,052",199.910,"40,245","11,221"
8544507,356798000,NI BO 156,1987-05,0,60.000,"1,000",922
9262716,356872000,NYK ARGUS,2004-02,"81,171",299.900,"75,484","83,411"
9650133,356875000,KOUYOU,2013-06,"58,595",197.000,"33,126","11,733"
9141211,356919000,MILLENNIUM LEADER,1996-11,"11,285",128.000,"9,999","7,200"
9757228,356941000,YM WARRANTY,2019-03,"146,749",365.900,"150,754","66,484"
9519133,356956000,MORNING CELINE,2009-11,"22,641",199.940,"60,799","21,128"
9278143,357067000,MSC ELENI,2004-02,"68,254",294.090,"54,881","55,889"
9799745,357074000,NEW BLISS,2017-09,"55,773",189.990,"31,898","10,197"
9618276,357096000,MSC AGRIGENTO,2013-07,"110,652",300.020,"96,375","64,486"
9502972,357104000,MAERSK ESMERALDAS,2013-05,"140,973",366.440,"141,754","93,323"
9478597,357138000,K. OPAL,2010-09,"55,705",190.000,"31,532","12,087"
9610391,357147000,SUPREME ACE,2011-12,"18,384",199.950,"59,022","20,571"
9177430,357170000,PERSEUS LIBERTY,1999-01,"21,503",199.900,"57,449","19,202"
9416965,357175000,NYK REMUS,2009-03,"65,981",294.100,"55,487","69,870"
9169316,357247000,GRAND CHOICE,1999-02,"16,669",179.160,"50,309","16,801"
9743320,357249000,ZHONG HUA MEN,2017-01,"55,374",189.990,"34,798","10,809"
9683350,357258000,SILVER STACIE,2014-07,"49,746",183.060,"29,460","10,469"
9767089,357293000,GOOD HORIZON,2017-03,"182,342",292.000,"94,818","21,346"
9325609,357324000,STAR MERLIN,2007-02,"53,755",185.930,"31,500","14,439"
9267663,357347000,GRAND EAGLE,2003-02,"19,048",199.500,"58,947","19,264"
9561631,357353000,ASIAN NAGA,2011-03,"13,139",124.550,"9,984","5,710"
8715869,357363000,MSC FEDERICA,1990-06,"60,350",294.120,"52,181","57,681"
9203526,357388000,NIKOLAS,2000-05,"32,391",207.180,"25,294","28,456"
9279977,357405000,MSC POH LIN,2004-05,"66,786",294.170,"54,774","55,889"
9209104,357411000,NEWYORKER,2001-01,"32,392",207.160,"25,294","28,489"
9550292,357437000,MARITIME VICTORY,2010-04,"28,344",169.370,"17,019","7,954"
9397808,357449000,NINGBO DAWN,2009-12,"111,402",245.500,"59,671","19,415"
8401963,357481000,THOR I,1986-06,"2,903",75.400,"2,887","14,348"
9451460,357586000,EAGLE MILAN,2010-03,"46,549",179.900,"28,231","12,889"
9311361,357628000,CABO DE HORNOS,2006-07,"74,543",228.500,"42,096","13,202"
9048926,357636000,PRINCESS SOFEA,1992-11,"3,298",86.200,"1,699","1,800"
9175846,357668000,B-LPG SOPHIA,1997-11,"6,665",116.920,"5,473","5,701"
9565560,357694000,DALIAN HIGHWAY,2011-04,"21,616",199.940,"58,535","17,947"
9526265,357705000,NEW LEGEND RUBY,2014-06,"24,316",175.420,"19,534","15,799"
9636278,357728000,ARPEGGIO,2013-11,"80,584",225.000,"42,608","13,188"
9367683,357736000,FREJA BALTIC,2008-05,"47,548",182.500,"26,897","11,611"
9168867,357737000,EVER URSULA,1999-10,"63,216",285.000,"69,246","66,077"
9158305,357742000,KAKI STAR,1999-01,"46,724",183.000,"27,795","12,019"
9660011,357770000,YM MOVEMENT,2013-07,"72,370",293.180,"71,821","72,059"
9687215,357777000,BUENA VENTURA,2014-08,"62,915",209.280,"35,669","11,026"
9553103,357795000,TRITON LEADER,2010-03,"22,657",199.940,"60,876","21,128"
9181479,357802000,GRAND QUEST,1999-11,"16,702",179.160,"50,309","16,801"
9168879,357874000,EVER USEFUL,1999-12,"63,216",285.000,"69,246","66,077"
9636369,357887000,AMIS CHAMPION,2014-08,"60,830",199.980,"33,937","11,149"
9205964,357892000,NIPPON HIGHWAY,1999-11,"16,827",179.146,"49,212","19,461"
9206011,357900000,EUROPEAN HIGHWAY,1999-12,"15,075",179.990,"48,039","18,001"
9467392,357926000,MSC BERYL,2010-09,"139,418",365.800,"140,096","98,218"
9295921,357955000,ZEUS I,2003-07,195,26.500,216,"1,598"
9700574,357977000,RISING SUN,2014-09,"33,228",179.990,"21,267","8,158"
9184940,357983000,GRAND RACE,2000-01,"16,689",179.160,"50,309","16,801"
7223869,366245070,LAST STRAW,1971-00,0,19.690,103,364
7334204,366365000,MATSONIA,1973-12,"22,501",231.660,"33,095","30,000"
8966456,366396000,NATIONAL GEOGRAPHIC SEA LION,1982-09,0,45.720,630,
7907984,366562000,MANOA,1982-10,"30,825",262.140,"41,036","43,200"
9043873,366608000,CALIFORNIA RESPONDER,1992-11,"1,258",63.570,"1,335","2,562"
7729459,366629000,HORIZON SPIRIT,1980-07,"46,154",272.300,"34,077","32,000"
8964719,366751770,BILLIE H,1998-04,0,27.610,269,
8964549,366757740,PETER M,1999-03,0,27.420,296,
8973095,366757950,MICHAEL L DAIGLE,1998-12,0,26.270,243,"2,028"
7729461,366791000,HORIZON RELIANCE,1980-12,"45,895",272.300,"34,077","32,000"
7617890,366799000,HORIZON PACIFIC,1979-12,"31,213",247.890,"28,219","28,500"
9581289,366840000,HARVEY CHAMPION,2012-08,"5,487",89.030,"3,912","9,924"
9258791,366844270,MILLENNIUM DAWN,2002-04,0,32.610,362,"4,460"
7420479,366873510,AMERICAN CHALLENGER,1975-00,0,33.830,342,"3,000"
8976463,366873670,RHEA,2002-00,0,27.430,299,"5,001"
7404085,366887940,KEKOA,1975-00,0,36.630,421,"4,860"
